id,committee_id,filed_doc_id,etrans_id,last_name,first_name,expended_date,amount,aggregate_amount,address1,address2,city,state,zipcode,d2_part,purpose,candidate_name,office,supporting,opposing,archived,country,redaction_requested,search_name,search_date
3954675,36024,794159,0,Bank of Marin,,2020-12-04 00:00:00,30.0,270.0,2656 Bridgeway,,Sausalito,CA,94965     ,8B,Bank charges,,,False,False,False,,False,'bank':1 'marin':3,2020-12-04 00:00:00
3954633,36024,794159,0,"Lyft, Inc.",,2020-12-04 00:00:00,19039.76,19039.76,185 Berry St,,San Francisco,CA,94107     ,8B,"Principal payment, Lyft, Inc.",,,False,False,False,,False,'inc':2 'lyft':1,2020-12-04 00:00:00
3954674,36024,794159,0,Bank of Marin,,2020-12-03 00:00:00,30.0,270.0,2656 Bridgeway,,Sausalito,CA,94965     ,8B,Bank charges,,,False,False,False,,False,'bank':1 'marin':3,2020-12-03 00:00:00
3954673,36024,794159,0,Do Big Things LLC,,2020-12-03 00:00:00,9950.0,179975.0,PO Box 128,,Mill Valley,CA,94942     ,8B,Consulting,,,False,False,False,,False,'big':2 'llc':4 'thing':3,2020-12-03 00:00:00
3954672,36024,794159,0,Cycle Consulting,,2020-11-10 00:00:00,236.0,30236.0,PO Box 8011,,Evanston,IL,60201     ,8B,Consulting,,,False,False,False,,False,'consult':2 'cycl':1,2020-11-10 00:00:00
3954671,36024,794159,0,Do Big Things LLC,,2020-11-09 00:00:00,24250.0,179975.0,PO Box 128,,Mill Valley,CA,94942     ,8B,Consulting,,,False,False,False,,False,'big':2 'llc':4 'thing':3,2020-11-09 00:00:00
3954670,36024,794159,0,Bank of Marin,,2020-11-09 00:00:00,30.0,270.0,2656 Bridgeway,,Sausalito,CA,94965     ,8B,Bank charges,,,False,False,False,,False,'bank':1 'marin':3,2020-11-09 00:00:00
3954669,36024,794159,0,Cycle Consulting,,2020-11-06 00:00:00,15000.0,30236.0,PO Box 8011,,Evanston,IL,60201     ,8B,Consulting,,,False,False,False,,False,'consult':2 'cycl':1,2020-11-06 00:00:00
3954668,36024,794159,0,Bank of Marin,,2020-11-06 00:00:00,30.0,270.0,2656 Bridgeway,,Sausalito,CA,94965     ,8B,Bank charges,,,False,False,False,,False,'bank':1 'marin':3,2020-11-06 00:00:00
3954682,36024,794159,0,Cook County Southland Juvenile Justice Council,,2020-10-23 00:00:00,5000.0,5000.0,336 Forest Boulevard,,Park Forest,IL,60466     ,8B,Donation,,,False,False,False,,False,'cook':1 'council':6 'counti':2 'justic':5 'juvenil':4 'southland':3,2020-10-23 00:00:00
3954667,36024,794159,0,Westside Ministers Coalition,,2020-10-23 00:00:00,5000.0,5000.0,PO Box 51547,,Chicago,IL,60651     ,8B,Donation,,,False,False,False,,False,'coalit':3 'minist':2 'westsid':1,2020-10-23 00:00:00
3954666,36024,794159,0,"West Side Justice Center, Inc",,2020-10-23 00:00:00,5000.0,5000.0,601 South California Avenue,,Chicago,IL,60612     ,8B,Donation,,,False,False,False,,False,'center':4 'inc':5 'justic':3 'side':2 'west':1,2020-10-23 00:00:00
3954665,36024,794159,0,Teamwork Englewood,,2020-10-23 00:00:00,5000.0,5000.0,"815 West 63rd Street, Second Floor",,Chicago,IL,60621     ,8B,Donation,,,False,False,False,,False,'englewood':2 'teamwork':1,2020-10-23 00:00:00
